timestamp, frame, x, y, z, qx, qy, qz, qw
21144.235868416, 000153, 0.6020311, 0.04817094, 0.7231781, -0.23096378, 0.076716214, -0.9686607, 0.049666204
21144.3025405, 000154, 0.58959967, 0.069909975, 0.742936, -0.23054086, 0.076070234, -0.9687936, 0.05003396
21144.3692125, 000155, 0.5774597, 0.09091948, 0.75949013, -0.23075597, 0.07610363, -0.968722, 0.05037489
21144.435884583, 000156, 0.56587064, 0.109950356, 0.77536154, -0.23096988, 0.07616655, -0.96863395, 0.05098933
21144.502556583, 000157, 0.555074, 0.12583965, 0.7904725, -0.2309787, 0.075771526, -0.9685975, 0.0522159
21144.569228625, 000158, 0.54495704, 0.13727435, 0.805719, -0.23100348, 0.075645335, -0.96854645, 0.053225085
21144.635900625, 000159, 0.5371577, 0.14449747, 0.8202093, -0.23090267, 0.07567997, -0.9685089, 0.054286405
21144.702572625, 000160, 0.53233266, 0.14909859, 0.8337489, -0.23033284, 0.075761184, -0.9685662, 0.055557404
21144.769244625, 000161, 0.52954006, 0.15152332, 0.84816223, -0.23024568, 0.07639474, -0.96851796, 0.05589023
21144.835916666, 000162, 0.5284781, 0.15435162, 0.86407936, -0.23004332, 0.077003226, -0.9685024, 0.056158297
21144.902588666, 000163, 0.52873766, 0.1589534, 0.8810762, -0.22965312, 0.076475434, -0.9685932, 0.05690625
21144.969260708, 000164, 0.5298404, 0.1639165, 0.89773697, -0.22970341, 0.07676126, -0.9685711, 0.05669222
21145.035932625, 000165, 0.53119314, 0.16934288, 0.91732615, -0.22941266, 0.07669503, -0.96863115, 0.05693362
21145.10260475, 000166, 0.53323936, 0.17606933, 0.9399909, -0.22908615, 0.07648802, -0.9687223, 0.056975786
21145.169276791, 000167, 0.5359783, 0.18673453, 0.9634303, -0.22878765, 0.076185614, -0.9687893, 0.05744058
21145.23594875, 000168, 0.53918475, 0.20025308, 0.9866595, -0.22867228, 0.07578582, -0.9688601, 0.057234056
